1,1,Bulbasaur,"{""type 1"": ""Grass"", ""type 2"": ""Poison""}","{""ability 1"": ""Overgrow"", ""ability 2"": """", ""hidden ability"": ""Chlorophyll""}","{""hp"": 45, ""atk"": 49, ""def"": 49, ""sp.atk"": 65, ""sp.def"": 65, ""spe"": 45}",Starter,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png
2,2,Ivysaur,"{""type 1"": ""Grass"", ""type 2"": ""Poison""}","{""ability 1"": ""Overgrow"", ""ability 2"": """", ""hidden ability"": ""Chlorophyll""}","{""hp"": 60, ""atk"": 62, ""def"": 63, ""sp.atk"": 80, ""sp.def"": 80, ""spe"": 60}",Starter,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png
3,3,Venusaur,"{""type 1"": ""Grass"", ""type 2"": ""Poison""}","{""ability 1"": ""Overgrow"", ""ability 2"": """", ""hidden ability"": ""Chlorophyll""}","{""hp"": 80, ""atk"": 82, ""def"": 83, ""sp.atk"": 100, ""sp.def"": 100, ""spe"": 80}",Starter,RU,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png
4,3,Venusaur (Mega Venusaur),"{""type 1"": ""Grass"", ""type 2"": ""Poison""}","{""ability 1"": ""Thick Fat"", ""ability 2"": """", ""hidden ability"": """"}","{""hp"": 80, ""atk"": 100, ""def"": 123, ""sp.atk"": 122, ""sp.def"": 120, ""spe"": 80}",Starter,OU,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003_f2.png
5,4,Charmander,"{""type 1"": ""Fire"", ""type 2"": """"}","{""ability 1"": ""Blaze"", ""ability 2"": """", ""hidden ability"": ""Solar Power""}","{""hp"": 39, ""atk"": 52, ""def"": 43, ""sp.atk"": 60, ""sp.def"": 50, ""spe"": 65}",Starter,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png
6,5,Charmeleon,"{""type 1"": ""Fire"", ""type 2"": """"}","{""ability 1"": ""Blaze"", ""ability 2"": """", ""hidden ability"": ""Solar Power""}","{""hp"": 58, ""atk"": 64, ""def"": 58, ""sp.atk"": 80, ""sp.def"": 65, ""spe"": 80}",Starter,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png
7,6,Charizard,"{""type 1"": ""Fire"", ""type 2"": ""Flying""}","{""ability 1"": ""Blaze"", ""ability 2"": """", ""hidden ability"": ""Solar Power""}","{""hp"": 78, ""atk"": 84, ""def"": 78, ""sp.atk"": 109, ""sp.def"": 85, ""spe"": 100}",Starter,PU,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png
8,6,Charizard (Mega Charizard X),"{""type 1"": ""Fire"", ""type 2"": ""Dragon""}","{""ability 1"": ""Tough Claws"", ""ability 2"": """", ""hidden ability"": """"}","{""hp"": 78, ""atk"": 130, ""def"": 111, ""sp.atk"": 130, ""sp.def"": 85, ""spe"": 100}",Starter,OU,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f2.png
9,6,Charizard (Mega Charizard Y),"{""type 1"": ""Fire"", ""type 2"": ""Flying""}","{""ability 1"": ""Drought"", ""ability 2"": """", ""hidden ability"": """"}","{""hp"": 78, ""atk"": 104, ""def"": 78, ""sp.atk"": 159, ""sp.def"": 115, ""spe"": 100}",Starter,OU,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f3.png
10,7,Squirtle,"{""type 1"": ""Water"", ""type 2"": """"}","{""ability 1"": ""Torrent"", ""ability 2"": """", ""hidden ability"": ""Rain Dish""}","{""hp"": 44, ""atk"": 48, ""def"": 65, ""sp.atk"": 50, ""sp.def"": 64, ""spe"": 43}",Starter,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png
