1,Bulbasaur,Grass,Poison,Overgrow,,Chlorophyll,45,49,49,65,65,45,Starter,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png
2,Ivysaur,Grass,Poison,Overgrow,,Chlorophyll,60,62,63,80,80,60,Starter,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png
3,Venusaur,Grass,Poison,Overgrow,,Chlorophyll,80,82,83,100,100,80,Starter,RU,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png
3,Venusaur (Mega Venusaur),Grass,Poison,Thick Fat,,,80,100,123,122,120,80,Starter,OU,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003_f2.png
4,Charmander,Fire,,Blaze,,Solar Power,39,52,43,60,50,65,Starter,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png
5,Charmeleon,Fire,,Blaze,,Solar Power,58,64,58,80,65,80,Starter,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png
6,Charizard,Fire,Flying,Blaze,,Solar Power,78,84,78,109,85,100,Starter,PU,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png
6,Charizard (Mega Charizard X),Fire,Dragon,Tough Claws,,,78,130,111,130,85,100,Starter,OU,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f2.png
6,Charizard (Mega Charizard Y),Fire,Flying,Drought,,,78,104,78,159,115,100,Starter,OU,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f3.png
7,Squirtle,Water,,Torrent,,Rain Dish,44,48,65,50,64,43,Starter,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png
8,Wartortle,Water,,Torrent,,Rain Dish,59,63,80,65,80,58,Starter,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png
9,Blastoise,Water,,Torrent,,Rain Dish,79,83,100,85,105,78,Starter,RU,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png
9,Blastoise (Mega Blastoise),Water,,Mega Launcher,,,79,103,120,135,115,78,Starter,UU,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009_f2.png
10,Caterpie,Bug,,Shield Dust,,Run Away,45,30,35,20,20,45,,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png
11,Metapod,Bug,,Shed Skin,,,50,20,55,25,25,30,,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png
12,Butterfree,Bug,Flying,Compound Eyes,,Tinted Lens,60,45,50,90,80,70,,PU,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png
13,Weedle,Bug,Poison,Shield Dust,,Run Away,40,35,30,20,20,50,,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png
14,Kakuna,Bug,Poison,Shed Skin,,,45,25,50,25,25,35,,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png
15,Beedrill,Bug,Poison,Swarm,,Sniper,65,90,40,45,80,75,,PU,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png
